id,issn_l
https://openalex.org/W3121759882,0022-3808
https://openalex.org/W2162012454,0304-405X
https://openalex.org/W3125469707,0304-405X
https://openalex.org/W1577916257,0009-4978
https://openalex.org/W2143476946,0893-9454
https://openalex.org/W3141471863,0002-8762
https://openalex.org/W2142703695,0007-6791
https://openalex.org/W1988726519,0013-0117
https://openalex.org/W2038531962,0013-0117
https://openalex.org/W1493503904,1467-2227
https://openalex.org/W1767288694,0013-0117
https://openalex.org/W3125369581,0012-9682
https://openalex.org/W2081117581,0047-2530
https://openalex.org/W2012427404,0958-5206
https://openalex.org/W2165288322,1556-5068
https://openalex.org/W2108697645,0007-6805
https://openalex.org/W1575636811,0013-0117
https://openalex.org/W2070037986,0013-0117
https://openalex.org/W2057928137,0013-0117
https://openalex.org/W4253178438,0899-8256
https://openalex.org/W3125322350,0043-0463
https://openalex.org/W3123199730,0043-0463
https://openalex.org/W3123440643,0002-919X
https://openalex.org/W2055168167,0013-8266
https://openalex.org/W2795838881,0017-811X
https://openalex.org/W2022036298,1467-2227
https://openalex.org/W4253276158,1467-2227
https://openalex.org/W2018813241,0040-165X
https://openalex.org/W3141673017,0769-489X
https://openalex.org/W2055723050,0003-066X
https://openalex.org/W1968604251,0021-9010
https://openalex.org/W1976793337,0003-1224
https://openalex.org/W2014643128,0001-8791
https://openalex.org/W1894021554,0009-4978
https://openalex.org/W2081031172,0963-1798
https://openalex.org/W2090926594,0030-5073
https://openalex.org/W1988823686,0001-8791
https://openalex.org/W2163506883,0893-9454
https://openalex.org/W1999102941,0021-9010
https://openalex.org/W2028146261,1362-0436
https://openalex.org/W2091997143,1076-8998
https://openalex.org/W2042575853,0001-4273
https://openalex.org/W1993135195,1076-8998
https://openalex.org/W2026594506,0001-8791
https://openalex.org/W2000658880,0001-4273
https://openalex.org/W2036562478,0038-4038
https://openalex.org/W2074914660,0002-7642
https://openalex.org/W3122543869,0022-1082
https://openalex.org/W1977524975,0160-6891
https://openalex.org/W1982329024,0001-8791
https://openalex.org/W2028040157,0001-8791
https://openalex.org/W2001150109,0001-8791
https://openalex.org/W1605178214,1558-3813
https://openalex.org/W1999414275,1076-8998
https://openalex.org/W2090418915,1076-8998
https://openalex.org/W2066355594,1470-5958
https://openalex.org/W2027019912,1059-6011
https://openalex.org/W1992223320,0001-8791
https://openalex.org/W2074516118,0007-6805
https://openalex.org/W1965652296,0001-8791
https://openalex.org/W1979023772,0963-1798
https://openalex.org/W2003243482,1076-8998
https://openalex.org/W2056317109,0007-6791
https://openalex.org/W2797445599,0041-9907
https://openalex.org/W4292923487,0043-5597
https://openalex.org/W4245201927,0044-0094
https://openalex.org/W2333565135,0002-8762
https://openalex.org/W2317420874,0023-9216
https://openalex.org/W857182274,0010-8847
https://openalex.org/W2134821952,0022-0507
https://openalex.org/W2076064871,0014-4983
https://openalex.org/W3124463162,0022-1953
https://openalex.org/W2212401464,0005-7967
https://openalex.org/W4248161867,0003-066X
https://openalex.org/W1998250792,0003-1224
https://openalex.org/W1767995805,0022-0485
https://openalex.org/W2113739761,0001-8791
https://openalex.org/W2156345660,0001-8791
https://openalex.org/W2093235027,0001-8791
https://openalex.org/W2132842295,1076-8998
https://openalex.org/W4244985803,0363-7425
https://openalex.org/W2154681910,0267-8373
https://openalex.org/W2107613168,1076-8998
https://openalex.org/W1967651987,0003-1224
https://openalex.org/W4255116628,0363-7425
https://openalex.org/W2150426017,0894-3796
https://openalex.org/W1580804840,0002-9602
https://openalex.org/W4250805576,1076-8998
https://openalex.org/W2155502978,0197-6664
https://openalex.org/W1607450123,0094-3061
https://openalex.org/W2145356457,0149-2063
https://openalex.org/W2106537643,1754-9426
https://openalex.org/W1493005553,0022-166X
https://openalex.org/W2124625191,1076-8998
https://openalex.org/W2150844748,0192-513X
https://openalex.org/W1556356455,0022-166X
https://openalex.org/W1606165864,0009-4978
https://openalex.org/W4248975719,1076-8998
https://openalex.org/W1985552006,1573-188X
https://openalex.org/W164750737,0161-4681
https://openalex.org/W2161471285,0192-513X
https://openalex.org/W2124335137,0022-2445
https://openalex.org/W1969417600,0037-7732
https://openalex.org/W1976058552,0022-1546
https://openalex.org/W77828730,1479-3555
https://openalex.org/W1593035035,1573-188X
https://openalex.org/W1990581506,0037-7732
https://openalex.org/W2044758663,0162-1459
https://openalex.org/W2480680997,1940-6517
https://openalex.org/W2171160244,0081-1750
https://openalex.org/W2156290409,0002-8762
https://openalex.org/W2157641949,0034-6543
https://openalex.org/W4211257924,0021-3667
https://openalex.org/W2057782860,0003-1224
https://openalex.org/W3125403564,0002-8282
https://openalex.org/W2098501258,0009-4978
https://openalex.org/W2091152716,0022-1546
https://openalex.org/W2146515085,1536-867X
https://openalex.org/W2071749159,0022-1546
https://openalex.org/W2135934630,0360-0572
https://openalex.org/W2116020732,0037-7732
https://openalex.org/W2071122767,0734-306X
https://openalex.org/W2032324681,0037-7732
https://openalex.org/W2015966662,0009-4978
https://openalex.org/W2104467519,0038-0407
https://openalex.org/W2105078575,0018-2680
https://openalex.org/W2168638417,0038-0407
https://openalex.org/W2069946300,0094-3061
https://openalex.org/W2017017564,0360-0572
https://openalex.org/W2152384198,0003-1224
https://openalex.org/W2062147749,0049-089X
https://openalex.org/W236850690,0002-9564
https://openalex.org/W3124046155,0933-1433
https://openalex.org/W2312878298,0003-1224
https://openalex.org/W2578387940,0094-3061
https://openalex.org/W2157666456,0027-6014
https://openalex.org/W2114583020,0736-0983
https://openalex.org/W2044648248,0276-8739
https://openalex.org/W2080644460,0272-7757
https://openalex.org/W2154609427,0002-8312
https://openalex.org/W2130150056,1573-188X
https://openalex.org/W2141397408,0192-513X
https://openalex.org/W2163601427,0037-7732
https://openalex.org/W2061012853,0272-7757
https://openalex.org/W3120349805,0161-4681
https://openalex.org/W2150909106,0195-6744
https://openalex.org/W2067084766,0272-7757
https://openalex.org/W2040385951,0013-0133
https://openalex.org/W1974858978,0012-9682
https://openalex.org/W3121584453,1993-7601
https://openalex.org/W2031811990,0950-0804
https://openalex.org/W4252910068,0018-2680
https://openalex.org/W4247136947,0893-3200
https://openalex.org/W2168521872,0042-0980
https://openalex.org/W1493545818,0002-8282
https://openalex.org/W4254392751,0022-1546
https://openalex.org/W2170480462,0047-2875
https://openalex.org/W2054196297,0261-5177
https://openalex.org/W2164082705,0261-5177
https://openalex.org/W2171880468,0042-0980
https://openalex.org/W4239451111,0022-1546
https://openalex.org/W2078552701,0966-6923
https://openalex.org/W630417947,0009-4978
https://openalex.org/W2006839520,0261-5177
https://openalex.org/W2107588883,0047-2875
https://openalex.org/W2038973514,0966-9582
https://openalex.org/W2119126933,0042-0980
https://openalex.org/W4254889821,0037-7732
https://openalex.org/W2140939739,0047-2875
https://openalex.org/W4299740561,0002-8762
https://openalex.org/W2026339264,0361-1981
https://openalex.org/W2114771745,0047-2875
https://openalex.org/W2059318345,1361-9209
https://openalex.org/W2106373999,0967-070X
https://openalex.org/W2145546752,0361-1981
https://openalex.org/W4300199986,0022-1546
https://openalex.org/W4255866755,0027-6014
https://openalex.org/W2146074551,0261-5177
https://openalex.org/W2008991220,1502-2250
https://openalex.org/W2038260321,0308-518X
https://openalex.org/W2082502147,0361-1981
https://openalex.org/W1973034133,1096-3480
https://openalex.org/W2027850041,1083-5423
https://openalex.org/W1963685780,1054-8408
https://openalex.org/W4248303210,1536-867X
https://openalex.org/W2055577909,1354-8166
https://openalex.org/W2138561492,0023-7639
https://openalex.org/W4233091061,0037-7732
https://openalex.org/W4245580978,0037-7732
https://openalex.org/W3141065972,0012-9682
https://openalex.org/W2171464071,0093-5301
https://openalex.org/W2133727368,0018-716X
https://openalex.org/W1780438474,0034-6527
https://openalex.org/W2036230917,0034-6527
https://openalex.org/W2072695909,0012-9682
https://openalex.org/W2028482653,0165-1889
https://openalex.org/W2103456148,1099-9809
https://openalex.org/W2027396936,0018-716X
https://openalex.org/W2082858737,0022-4545
https://openalex.org/W2167256053,0047-2875
https://openalex.org/W2066531064,0022-0531
https://openalex.org/W2110410031,0012-9682
https://openalex.org/W2101818458,0020-7594
https://openalex.org/W1974827400,1054-139X
https://openalex.org/W2003857858,1542-4766
https://openalex.org/W2170861999,1099-2340
https://openalex.org/W1452429546,0022-2216
https://openalex.org/W2113954153,1094-2025
https://openalex.org/W2039100377,0013-1881
https://openalex.org/W4241425856,0361-1981
https://openalex.org/W4245184814,0361-1981
https://openalex.org/W2032133322,0148-2963
https://openalex.org/W619980870,0361-1981
https://openalex.org/W2158535664,0016-9013
https://openalex.org/W2075660412,0148-2963
https://openalex.org/W1974434475,1499-4046
https://openalex.org/W1917828040,1556-5068
https://openalex.org/W2127056853,0736-3761
https://openalex.org/W1570434645,1556-5068
https://openalex.org/W2088941483,0047-2727
https://openalex.org/W3125822209,0023-7639
https://openalex.org/W2102971924,1555-7561
https://openalex.org/W2069956189,0030-851X
https://openalex.org/W2106932155,1355-5855
https://openalex.org/W2127238399,0034-6527
https://openalex.org/W2114514721,0002-8282
https://openalex.org/W2265679842,0034-6527
https://openalex.org/W2050095948,0022-2879
https://openalex.org/W2091823404,0002-8282
https://openalex.org/W1975199651,0022-0531
https://openalex.org/W2160062365,0034-6527
https://openalex.org/W1972377093,0002-8282
https://openalex.org/W2133804056,0022-0531
https://openalex.org/W1587861000,0008-4085
https://openalex.org/W2155813275,0002-8282
https://openalex.org/W2127442407,0034-6527
https://openalex.org/W4234284606,0034-6527
https://openalex.org/W3123337687,0034-6527
https://openalex.org/W2016801656,0022-0531
https://openalex.org/W1969211706,0933-1433
https://openalex.org/W1963912940,0047-2727
https://openalex.org/W2045127993,0938-2259
https://openalex.org/W3122845574,0012-9682
https://openalex.org/W1566935044,0271-5287
https://openalex.org/W2144181176,0022-3808
https://openalex.org/W2001526531,0034-6527
https://openalex.org/W2059648655,0165-1889
https://openalex.org/W1974144128,0020-6598
https://openalex.org/W3123512418,0022-0531
https://openalex.org/W2133048212,1555-7561
https://openalex.org/W2064008352,0007-2303
https://openalex.org/W3126004840,0022-0531
https://openalex.org/W3121184688,0047-2727
https://openalex.org/W2017461508,0165-1765
https://openalex.org/W3122839817,0022-0531
https://openalex.org/W2099934967,1556-5068
https://openalex.org/W2146731366,0036-9292
https://openalex.org/W2057254019,0164-0704
https://openalex.org/W2041326921,1617-982X
https://openalex.org/W3124132563,1556-5068
https://openalex.org/W3124380383,0304-3932
https://openalex.org/W2056964551,0034-6527
https://openalex.org/W1482279368,0034-6527
https://openalex.org/W3126040048,0022-3808
https://openalex.org/W3123591829,0012-9682
https://openalex.org/W3110636891,0012-9682
https://openalex.org/W3123009101,0271-5287
https://openalex.org/W2090778465,0034-6527
https://openalex.org/W3126048267,0033-5533
https://openalex.org/W3125685619,0020-6598
https://openalex.org/W2292129782,0889-3365
https://openalex.org/W1979493937,0304-3932
https://openalex.org/W1965971356,0022-0531
https://openalex.org/W2123373682,0012-9682
https://openalex.org/W2161252879,0012-9682
https://openalex.org/W1784272075,0012-9682
https://openalex.org/W3122037649,1094-2025
https://openalex.org/W3121143183,1094-2025
https://openalex.org/W1993970692,0022-0531
https://openalex.org/W2027062276,0899-8256
https://openalex.org/W1517740072,0048-5829
https://openalex.org/W2160848655,0347-0520
https://openalex.org/W1505760807,0176-1714
https://openalex.org/W2070888449,0938-2259
https://openalex.org/W2914536804,0022-0531
https://openalex.org/W2093655443,1094-2025
https://openalex.org/W2061716670,0176-1714
https://openalex.org/W2149219979,0176-1714
https://openalex.org/W3123161190,0034-6527
https://openalex.org/W3124125994,0938-2259
https://openalex.org/W2151135857,0302-9743
https://openalex.org/W4213026902,0004-3702
https://openalex.org/W2162651837,0022-0531
https://openalex.org/W2129750227,0176-1714
https://openalex.org/W2039209413,0899-8256
https://openalex.org/W3123636336,0899-8256
https://openalex.org/W2169745514,1556-5068
https://openalex.org/W2152475909,0304-3932
https://openalex.org/W2091698637,0002-8762
https://openalex.org/W2008978935,0002-8762
https://openalex.org/W1977536930,0013-0117
https://openalex.org/W2313937529,0022-1953
https://openalex.org/W2331825697,0002-8762
https://openalex.org/W2030985447,0013-0117
https://openalex.org/W2093715205,0009-4978
https://openalex.org/W2319491484,0020-2754
https://openalex.org/W2327958634,0002-8762
https://openalex.org/W1966820712,0305-7488
https://openalex.org/W1758120940,0013-0117
https://openalex.org/W2321417390,0305-7488
https://openalex.org/W2055984729,0013-0117
https://openalex.org/W2011021486,0002-8762
https://openalex.org/W2034468805,0031-2746
https://openalex.org/W2073663040,0007-6791
https://openalex.org/W1964066406,0013-0117
https://openalex.org/W2043738113,0013-0117
https://openalex.org/W2074447082,0007-6791
https://openalex.org/W1997315951,0013-0117
https://openalex.org/W1999804490,0031-2746
https://openalex.org/W2145379093,0950-3471
https://openalex.org/W2051846499,0268-4160
https://openalex.org/W2033146399,0307-1022
https://openalex.org/W2073376273,0307-1022
https://openalex.org/W1510553203,0013-0117
https://openalex.org/W2028394620,0013-0117
https://openalex.org/W2043371669,0007-6791
https://openalex.org/W2167110915,0950-3471
https://openalex.org/W2043240857,0950-3471
https://openalex.org/W2324203859,0020-2754
https://openalex.org/W2112012467,0007-6791
https://openalex.org/W1990285455,0950-3471
https://openalex.org/W2164457520,0013-0117
https://openalex.org/W1979430800,0007-6791
https://openalex.org/W2035574776,0950-3471
https://openalex.org/W2121722232,0172-6404
https://openalex.org/W2137031429,0950-3471
https://openalex.org/W2029823802,0307-1022
https://openalex.org/W2091642955,0950-3471
https://openalex.org/W2004877893,0003-0554
https://openalex.org/W1648937643,0013-0133
https://openalex.org/W1556513643,0002-8282
https://openalex.org/W1991418004,0002-8282
https://openalex.org/W1522598817,1573-4463
https://openalex.org/W1549059388,0002-8282
https://openalex.org/W1758542899,0167-2681
https://openalex.org/W1536128219,0002-8282
https://openalex.org/W1992415142,0033-5533
https://openalex.org/W1992333423,0734-306X
https://openalex.org/W1503397861,0002-8282
https://openalex.org/W1978385790,0022-3808
https://openalex.org/W2973504502,0009-4978
https://openalex.org/W4251157942,0002-8762
https://openalex.org/W2764643822,0020-2754
https://openalex.org/W568481564,0952-8385
https://openalex.org/W1518267314,0020-4277
https://openalex.org/W1987965558,0098-7484
https://openalex.org/W2023921824,1059-6011
https://openalex.org/W4231585949,0700-3862
https://openalex.org/W1510535021,0022-166X
https://openalex.org/W4299406787,0002-8762
https://openalex.org/W2801847313,0952-8385
https://openalex.org/W3124432634,0013-0117
https://openalex.org/W4251136374,0013-0117
https://openalex.org/W4302406807,0959-5341
https://openalex.org/W2796767401,0952-8385
https://openalex.org/W4247872308,0013-0117
https://openalex.org/W4235412864,0013-0117
https://openalex.org/W4253783017,0013-0117
https://openalex.org/W4249227697,0013-0117
https://openalex.org/W2569755048,0002-8762
https://openalex.org/W4254175480,0013-0117
https://openalex.org/W4234441114,0013-0117
https://openalex.org/W4256384552,0031-2746
https://openalex.org/W2036910311,0013-0427
https://openalex.org/W2339740280,0094-3061
https://openalex.org/W2146006411,0022-3514
https://openalex.org/W3123223998,0002-8282
https://openalex.org/W4299951319,0037-7732
https://openalex.org/W2041071620,0022-3808
https://openalex.org/W3122425091,1573-4463
https://openalex.org/W2067516326,0019-7939
https://openalex.org/W3125708679,0002-8282
https://openalex.org/W2069904071,0895-3309
https://openalex.org/W2068780965,0030-851X
https://openalex.org/W2121999767,0002-8282
https://openalex.org/W3121853310,0022-0515
https://openalex.org/W110963011,0009-4978
https://openalex.org/W2316153770,0003-1224
https://openalex.org/W2152001004,0176-1714
https://openalex.org/W3002922038,1556-5068
https://openalex.org/W3121699304,0022-2186
https://openalex.org/W2079229005,1935-1704
https://openalex.org/W2142550658,0022-0531
https://openalex.org/W2060612256,0022-3611
https://openalex.org/W4241891324,0002-9556
https://openalex.org/W2021989258,0022-0531
https://openalex.org/W2103909532,0176-1714
https://openalex.org/W2095567645,0022-0531
https://openalex.org/W2061546065,0022-0531
https://openalex.org/W2167916236,1069-9384
https://openalex.org/W2029243345,0895-5638
https://openalex.org/W2066442099,0048-5829
https://openalex.org/W2138621916,0022-0531
https://openalex.org/W2122533453,0022-0531
https://openalex.org/W1997618208,0176-1714
https://openalex.org/W1967081648,0196-8858
https://openalex.org/W2151642490,0176-1714
https://openalex.org/W2138160287,0749-5978
https://openalex.org/W2095676952,0022-0531
https://openalex.org/W2032627296,0176-1714
https://openalex.org/W2120349495,1574-0110
https://openalex.org/W1491421378,1373-8496
https://openalex.org/W2137511816,0019-7939
https://openalex.org/W2141601439,1545-2921
https://openalex.org/W2172145754,1556-5068
https://openalex.org/W2002050008,0021-8723
https://openalex.org/W1975617599,0364-765X
https://openalex.org/W4230054408,0002-8762
https://openalex.org/W2112418544,0165-4896
https://openalex.org/W2162359459,0266-2671
https://openalex.org/W2074730872,0165-4896
https://openalex.org/W2237560775,0013-0117
https://openalex.org/W2028762057,0013-0117
https://openalex.org/W2281840052,1071-1031
https://openalex.org/W2018189500,0012-9682
https://openalex.org/W2084702601,0895-4801
https://openalex.org/W1992984785,0020-7276
https://openalex.org/W2074418535,0034-6527
https://openalex.org/W2021643626,0165-4896
https://openalex.org/W2077681802,0022-0531
https://openalex.org/W3122990377,0022-0531
https://openalex.org/W2042142130,0033-5533
https://openalex.org/W2127100060,0014-4983
https://openalex.org/W1983410770,0012-9682
https://openalex.org/W2091954458,0013-0117
https://openalex.org/W2321586518,0002-8762
https://openalex.org/W2014243814,0165-4896
https://openalex.org/W2111418984,1434-4742
https://openalex.org/W2162278657,0364-765X
https://openalex.org/W2105478153,0022-0531
https://openalex.org/W2044692536,0176-1714
