Category,Group,Edition
ACOUSTICS,Physics,SCIE
ACOUSTICS,Physics,ESCI
AGRICULTURAL ECONOMICS & POLICY,Agricultural Sciences;Economics & Business,SCIE
AGRICULTURAL ECONOMICS & POLICY,Agricultural Sciences;Economics & Business,ESCI
AGRICULTURAL ENGINEERING,Agricultural Sciences;Engineering,SCIE
AGRICULTURAL ENGINEERING,Agricultural Sciences;Engineering,ESCI
"AGRICULTURE, DAIRY & ANIMAL SCIENCE",Agricultural Sciences;Biology & Biochemistry;Plant & Animal Science,SCIE
"AGRICULTURE, DAIRY & ANIMAL SCIENCE",Agricultural Sciences;Biology & Biochemistry;Plant & Animal Science,ESCI
"AGRICULTURE, MULTIDISCIPLINARY",Agricultural Sciences;Biology & Biochemistry;Multidisciplinary;Plant & Animal Science,SCIE
"AGRICULTURE, MULTIDISCIPLINARY",Agricultural Sciences;Biology & Biochemistry;Multidisciplinary;Plant & Animal Science,ESCI
AGRONOMY,Agricultural Sciences;Biology & Biochemistry;Environment/Ecology;Plant & Animal Science,SCIE
AGRONOMY,Agricultural Sciences;Biology & Biochemistry;Environment/Ecology;Plant & Animal Science,ESCI
ALLERGY,Clinical Medicine,SCIE
ALLERGY,Clinical Medicine,ESCI
ANATOMY & MORPHOLOGY,Biology & Biochemistry;Plant & Animal Science,SCIE
ANATOMY & MORPHOLOGY,Biology & Biochemistry;Plant & Animal Science,ESCI
ANDROLOGY,Biology & Biochemistry;Clinical Medicine,SCIE
ANESTHESIOLOGY,Clinical Medicine,SCIE
ANESTHESIOLOGY,Clinical Medicine,ESCI
ANTHROPOLOGY,"History & Archaeology;Social Sciences, General",SSCI
ANTHROPOLOGY,"History & Archaeology;Social Sciences, General",ESCI
ARCHAEOLOGY,"History & Archaeology;Social Sciences, General",AHCI
ARCHAEOLOGY,"History & Archaeology;Social Sciences, General",ESCI
ARCHITECTURE,Visual & Performing Arts,AHCI
ARCHITECTURE,Visual & Performing Arts,ESCI
AREA STUDIES,"Arts & Humanities, Interdisciplinary;Economics & Business;History & Archaeology;Social Sciences, General",SSCI
AREA STUDIES,"Arts & Humanities, Interdisciplinary;Economics & Business;History & Archaeology;Social Sciences, General",ESCI
ART,Visual & Performing Arts,AHCI
ART,Visual & Performing Arts,ESCI
ASIAN STUDIES,"Arts & Humanities, Interdisciplinary;History & Archaeology",AHCI
ASIAN STUDIES,"Arts & Humanities, Interdisciplinary;History & Archaeology",ESCI
ASTRONOMY & ASTROPHYSICS,Physics,SCIE
ASTRONOMY & ASTROPHYSICS,Physics,ESCI
AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY,Clinical Medicine,SCIE
AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY,Clinical Medicine,ESCI
AUTOMATION & CONTROL SYSTEMS,Computer Science;Engineering,SCIE
AUTOMATION & CONTROL SYSTEMS,Computer Science;Engineering,ESCI
BEHAVIORAL SCIENCES,Clinical Medicine;Psychiatry/Psychology,SCIE
BEHAVIORAL SCIENCES,Clinical Medicine;Psychiatry/Psychology,ESCI
BIOCHEMICAL RESEARCH METHODS,Biology & Biochemistry;Chemistry,SCIE
BIOCHEMICAL RESEARCH METHODS,Biology & Biochemistry;Chemistry,ESCI
BIOCHEMISTRY & MOLECULAR BIOLOGY,Biology & Biochemistry;Chemistry,SCIE
BIOCHEMISTRY & MOLECULAR BIOLOGY,Biology & Biochemistry;Chemistry,ESCI
BIODIVERSITY CONSERVATION,Environment/Ecology;Plant & Animal Science,SCIE
BIODIVERSITY CONSERVATION,Environment/Ecology;Plant & Animal Science,ESCI
BIOLOGY,Biology & Biochemistry,SCIE
BIOLOGY,Biology & Biochemistry,ESCI
BIOPHYSICS,Biology & Biochemistry;Physics,SCIE
BIOPHYSICS,Biology & Biochemistry;Physics,ESCI
BIOTECHNOLOGY & APPLIED MICROBIOLOGY,Biology & Biochemistry,SCIE
BIOTECHNOLOGY & APPLIED MICROBIOLOGY,Biology & Biochemistry,ESCI
BUSINESS,Economics & Business,SSCI
BUSINESS,Economics & Business,ESCI
"BUSINESS, FINANCE",Economics & Business,SSCI
"BUSINESS, FINANCE",Economics & Business,ESCI
By exporting the selected data; you agree to the data usage policy set forth in the Terms of Use ,,
CARDIAC & CARDIOVASCULAR SYSTEMS,Clinical Medicine,SCIE
CARDIAC & CARDIOVASCULAR SYSTEMS,Clinical Medicine,ESCI
CELL & TISSUE ENGINEERING,Biology & Biochemistry;Materials Science,SCIE
CELL & TISSUE ENGINEERING,Biology & Biochemistry;Materials Science,ESCI
CELL BIOLOGY,Biology & Biochemistry,SCIE
CELL BIOLOGY,Biology & Biochemistry,ESCI
"CHEMISTRY, ANALYTICAL",Chemistry,SCIE
"CHEMISTRY, ANALYTICAL",Chemistry,ESCI
"CHEMISTRY, APPLIED",Chemistry,SCIE
"CHEMISTRY, APPLIED",Chemistry,ESCI
"CHEMISTRY, INORGANIC & NUCLEAR",Chemistry;Physics,SCIE
"CHEMISTRY, INORGANIC & NUCLEAR",Chemistry;Physics,ESCI
"CHEMISTRY, MEDICINAL",Biology & Biochemistry;Chemistry,SCIE
"CHEMISTRY, MEDICINAL",Biology & Biochemistry;Chemistry,ESCI
"CHEMISTRY, MULTIDISCIPLINARY",Multidisciplinary,SCIE
"CHEMISTRY, MULTIDISCIPLINARY",Multidisciplinary,ESCI
"CHEMISTRY, ORGANIC",Chemistry,SCIE
"CHEMISTRY, ORGANIC",Chemistry,ESCI
"CHEMISTRY, PHYSICAL",Chemistry;Physics,SCIE
"CHEMISTRY, PHYSICAL",Chemistry;Physics,ESCI
CLASSICS,"Arts & Humanities, Interdisciplinary;History & Archaeology;Literature & Language",AHCI
CLASSICS,"Arts & Humanities, Interdisciplinary;History & Archaeology;Literature & Language",ESCI
CLINICAL NEUROLOGY,Clinical Medicine,SCIE
CLINICAL NEUROLOGY,Clinical Medicine,ESCI
COMMUNICATION,"Economics & Business;Literature & Language;Social Sciences, General;Visual & Performing Arts",ESCI
COMMUNICATION,"Economics & Business;Literature & Language;Social Sciences, General;Visual & Performing Arts",SSCI
"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",Computer Science;Mathematics,SCIE
"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",Computer Science;Mathematics,ESCI
"COMPUTER SCIENCE, CYBERNETICS",Computer Science,SCIE
"COMPUTER SCIENCE, CYBERNETICS",Computer Science,ESCI
"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE",Computer Science,SCIE
"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE",Computer Science,ESCI
"COMPUTER SCIENCE, INFORMATION SYSTEMS",Computer Science;Multidisciplinary,SCIE
"COMPUTER SCIENCE, INFORMATION SYSTEMS",Computer Science;Multidisciplinary,ESCI
"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",Computer Science;Multidisciplinary,SCIE
"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",Computer Science;Multidisciplinary,ESCI
"COMPUTER SCIENCE, SOFTWARE ENGINEERING",Computer Science,SCIE
"COMPUTER SCIENCE, SOFTWARE ENGINEERING",Computer Science,ESCI
"COMPUTER SCIENCE, THEORY & METHODS",Computer Science;Mathematics,SCIE
"COMPUTER SCIENCE, THEORY & METHODS",Computer Science;Mathematics,ESCI
CONSTRUCTION & BUILDING TECHNOLOGY,Engineering;Materials Science;Visual & Performing Arts,SCIE
CONSTRUCTION & BUILDING TECHNOLOGY,Engineering;Materials Science;Visual & Performing Arts,ESCI
Copyright (c) 2023 Clarivate ,,
CRIMINOLOGY & PENOLOGY,"Psychiatry/Psychology;Social Sciences, General",SSCI
CRIMINOLOGY & PENOLOGY,"Psychiatry/Psychology;Social Sciences, General",ESCI
CRITICAL CARE MEDICINE,Clinical Medicine,SCIE
CRITICAL CARE MEDICINE,Clinical Medicine,ESCI
CRYSTALLOGRAPHY,Geosciences;Materials Science;Physics,SCIE
CRYSTALLOGRAPHY,Geosciences;Materials Science;Physics,ESCI
CULTURAL STUDIES,"Arts & Humanities, Interdisciplinary;Literature & Language;Multidisciplinary",AHCI
CULTURAL STUDIES,"Arts & Humanities, Interdisciplinary;Literature & Language;Multidisciplinary",SSCI
CULTURAL STUDIES,"Arts & Humanities, Interdisciplinary;Literature & Language;Multidisciplinary",ESCI
DANCE,Visual & Performing Arts,AHCI
DANCE,Visual & Performing Arts,ESCI
DEMOGRAPHY,"Economics & Business;Multidisciplinary;Social Sciences, General",SSCI
DEMOGRAPHY,"Economics & Business;Multidisciplinary;Social Sciences, General",ESCI
