Cluster,Stylisation,Indicator,Dimension,Lag,Year,FE,N_author,Impact,SE,L.bound,U.bound,n.obs,p,BIC
MKTG,Concepts,k,Variety,y_3,2013,0,0,0.0463309364330842,0.0335090336089348,-0.0201803948143271,0.117357136704232,628,0.176513926509404,5094.20579606961
MKTG,Concepts,k,Variety,y_3,2018,0,0,0.0515699320290648,0.0365346976707678,-0.0210967539958224,0.129630866443049,698,0.168715927908075,6150.30658820592
FINAC,Concepts,k,Variety,y_3,2013,0,0,0.0179346813947932,0.0551392387520944,-0.0863385396937568,0.134108267233912,568,0.747165319826689,5078.34570250514
FINAC,Concepts,k,Variety,y_3,2018,0,0,0.0506866694414521,0.0396503703590652,-0.0278735365523406,0.135595541167375,754,0.212398334637256,6929.39306263978
MGMT,Concepts,k,Variety,y_3,2013,0,0,0.00400723566038574,0.0226128537963611,-0.0395190697490359,0.0495060313118565,1629,0.859621180864731,13519.4010029985
MGMT,Concepts,k,Variety,y_3,2018,0,0,0.090608214659277,0.0217939123538859,0.0450035185285678,0.138203132135942,1551,6.89716285022623e-05,13285.6262421713
,Concepts,k,Variety,y_3,2013,0,0,-0.0237915529941295,0.0174779517775964,-0.056666404056964,0.0102289753106175,2825,0.168300023295554,23745.9598666293
,Concepts,k,Variety,y_3,2018,0,0,0.0407441177373269,0.0165598236878965,0.00750733691755356,0.0750773507205567,3003,0.0158819478564631,26414.8920754871
MKTG,Concepts,k,Variety,y_3,2013,0,1,0.0544496200068247,0.0335308273808798,-0.0126199623369084,0.126075025543428,628,0.11383231980882,5092.76355299621
MKTG,Concepts,k,Variety,y_3,2018,0,1,0.0488393910842611,0.0359611915834417,-0.0225405089286654,0.125431875528969,698,0.184842728106958,6132.75739447155
FINAC,Concepts,k,Variety,y_3,2013,0,1,0.0261274245122658,0.0551465594069161,-0.0789982437563213,0.143252425088307,568,0.6400005854667,5079.85805502782
FINAC,Concepts,k,Variety,y_3,2018,0,1,0.0771658180883905,0.0392580671083799,-0.00260764254814472,0.163319721661332,754,0.0582975028814409,6893.57388114992
MGMT,Concepts,k,Variety,y_3,2013,0,1,0.0108060612575738,0.0227107942131365,-0.0332005951192539,0.0568158072057146,1629,0.636028244407779,13509.5273671113
MGMT,Concepts,k,Variety,y_3,2018,0,1,0.0935845678211667,0.0217418093688558,0.0479624254212576,0.141192830931769,1551,3.8769319120095e-05,13276.0521112722
,Concepts,k,Variety,y_3,2013,0,1,-0.0185783249095091,0.0175101482358339,-0.0516885809729606,0.0156879744479399,2825,0.28417710966569,23728.5452545826
,Concepts,k,Variety,y_3,2018,0,1,0.0441479247935459,0.0164525693141164,0.0110149492533598,0.0783667339991567,3003,0.00864453881860869,26354.7577790898
MKTG,Concepts,k,Variety,y_5,2013,0,0,0.0620107811160759,0.0338946629560966,-0.00624863972446144,0.134958848150963,628,0.075892783345886,5913.71792190065
MKTG,Concepts,k,Variety,y_5,2018,0,0,0.0339159354009064,0.0377015646568335,-0.0397294741842057,0.113209384998859,698,0.376334222780848,7028.22564693778
FINAC,Concepts,k,Variety,y_5,2013,0,0,0.0355056138716137,0.0550391253316743,-0.0703851144338743,0.153458161017533,568,0.526139899243225,5761.04974388538
FINAC,Concepts,k,Variety,y_5,2018,0,0,0.0503317486399064,0.0406172073588132,-0.0300417001196268,0.137365165427238,754,0.226664153928482,7799.60148919062
MGMT,Concepts,k,Variety,y_5,2013,0,0,0.00467506640864679,0.0227312487961716,-0.0391031931025769,0.0504478543563007,1629,0.837425493828601,15749.4105001922
MGMT,Concepts,k,Variety,y_5,2018,0,0,0.0725165358877502,0.0222531690675682,0.0267437430143076,0.120329904690377,1551,0.00165537302736089,15456.8146937191
,Concepts,k,Variety,y_5,2013,0,0,-0.010486639633467,0.0175128086558412,-0.0438748707177028,0.0240675204079661,2825,0.547200703102749,27455.3413908365
,Concepts,k,Variety,y_5,2018,0,0,0.0380510057753831,0.016873585355123,0.00428244603901673,0.0729550186217449,3003,0.0268826229116932,30290.0758861768
MKTG,Concepts,k,Variety,y_5,2013,0,1,0.0700315767484265,0.0339670575725166,0.00111457018748684,0.143692849285268,628,0.0462878454519383,5913.14486032233
MKTG,Concepts,k,Variety,y_5,2018,0,1,0.0333375312442439,0.0370022409628638,-0.0389503191611157,0.111062700261131,698,0.375473372783685,7005.75861976984
FINAC,Concepts,k,Variety,y_5,2013,0,1,0.0451553496182573,0.0549490733416422,-0.0615565405643838,0.1640016176282,568,0.421539094495627,5759.59219864538
FINAC,Concepts,k,Variety,y_5,2018,0,1,0.0829925201420094,0.0401038014714312,0.00112668909625557,0.1715528228923,754,0.0468069907722014,7758.38924876986
MGMT,Concepts,k,Variety,y_5,2013,0,1,0.0116468775192098,0.0228306302047568,-0.0326236232683174,0.0579433500868212,1629,0.61201821101693,15737.1896577853
MGMT,Concepts,k,Variety,y_5,2018,0,1,0.0762182124811244,0.0221498982473816,0.0304959982750426,0.123969081699362,1551,0.000912542102311682,15438.6884497236
